Date,PE_ratio,CAPE
1871-01-31,11.1,
1871-02-28,11.25,
1871-03-31,11.525,
1871-04-30,11.85,
1871-05-31,12.15,
1871-06-30,12.05,
1871-07-31,11.825000000000001,
1871-08-31,11.975,
1871-09-30,12.1,
1871-10-31,11.475,
1871-11-30,11.599999999999998,
1871-12-31,11.85,
1872-01-31,12.074534161490684,
1872-02-29,12.049382716049381,
1872-03-31,12.368098159509204,
1872-04-30,12.634146341463415,
1872-05-31,12.557575757575757,
1872-06-30,12.361445783132531,
1872-07-31,12.215568862275449,
1872-08-31,12.0,
1872-09-30,11.715976331360947,
1872-10-31,11.694117647058823,
1872-11-30,11.578947368421053,
1872-12-31,11.790697674418606,
1873-01-31,11.815028901734104,
1873-02-28,11.839080459770116,
1873-03-31,11.680000000000001,
1873-04-30,11.454545454545455,
1873-05-31,11.412429378531073,
1873-06-30,11.191011235955058,
1873-07-31,11.106145251396647,
1873-08-31,11.044444444444444,
1873-09-30,10.143646408839778,
1873-10-31,9.20879120879121,
1873-11-30,8.830601092896174,
1873-12-31,9.608695652173912,
1874-01-31,10.130434782608695,
1874-02-28,10.43478260869565,
1874-03-31,10.282608695652174,
1874-04-30,9.999999999999998,
1874-05-31,9.73913043478261,
1874-06-30,9.695652173913043,
1874-07-31,9.695652173913043,
1874-08-31,9.717391304347824,
1874-09-30,9.869565217391305,
1874-10-31,9.847826086956522,
1874-11-30,9.934782608695652,
1874-12-31,9.869565217391305,
1875-01-31,10.050918751383662,
1875-02-28,10.218813444619895,
1875-03-31,10.551724137931034,
1875-04-30,10.8975861260839,
1875-05-31,10.686110447047573,
1875-06-30,10.682926829268293,
1875-07-31,10.928553647000248,
1875-08-31,11.212814645308926,
1875-09-30,11.35064935064935,
1875-10-31,11.414919033713831,
1875-11-30,11.865327178930219,
1875-12-31,12.13888888888889,
1876-01-31,12.62383243702236,
1876-02-29,13.037207960773001,
1876-03-31,13.26470588235294,
1876-04-30,13.021302130213021,
1876-05-31,12.794612794612794,
1876-06-30,12.96875,
1876-07-31,13.086498563676985,
1876-08-31,12.813824584284319,
1876-09-30,12.3,
1876-10-31,12.512785543811797,
1876-11-30,12.556679455877223,
1876-12-31,12.785714285714285,
1877-01-31,12.602058927937522,
1877-02-28,11.789622308506884,
1877-03-31,11.12280701754386,
1877-04-30,10.254621555633065,
1877-05-31,10.197710718002082,
1877-06-30,9.413793103448276,
1877-07-31,9.77031196434693,
1877-08-31,10.39890896692806,
1877-09-30,10.983050847457628,
1877-10-31,11.156049882035726,
1877-11-30,10.928595373784779,
1877-12-31,10.833333333333334,
1878-01-31,10.804521276595745,
1878-02-28,10.540271793172025,
1878-03-31,10.710743801652894,
1878-04-30,10.979228486646884,
1878-05-31,10.979618671926362,
1878-06-30,11.18032786885246,
1878-07-31,11.379986919555265,
1878-08-31,11.248777306814478,
1878-09-30,11.447154471544716,
1878-10-31,11.287706779111254,
1878-11-30,11.222509702457957,
1878-12-31,11.129032258064516,
1879-01-31,11.336288790373654,
1879-02-28,11.532483680447623,
1879-03-31,11.14503816793893,
1879-04-30,11.311131113111312,
1879-05-31,11.61556603773585,
1879-06-30,11.478260869565219,
1879-07-31,11.516533637400228,
1879-08-31,11.410148584244464,
1879-09-30,11.641379310344828,
1879-10-31,12.707032310616343,
1879-11-30,13.174772848743988,
1879-12-31,12.947368421052632,
1880-01-31,13.129496402877699,
1880-02-29,13.05548581471253,
