Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2025","23,465.67","23,521.05","23,414.83","23,419.08","23,419.08","6,769,300,000"
"Dec 29, 2025","23,414.68","23,531.02","23,397.52","23,474.35","23,474.35","6,527,530,000"
"Dec 26, 2025","23,645.91","23,665.15","23,567.86","23,593.10","23,593.10","5,170,300,000"
"Dec 24, 2025","23,555.95","23,621.72","23,527.97","23,613.31","23,613.31","3,885,190,000"
"Dec 23, 2025","23,407.70","23,563.46","23,377.49","23,561.84","23,561.84","7,518,190,000"
"Dec 22, 2025","23,450.53","23,476.50","23,362.93","23,428.83","23,428.83","7,244,910,000"
"Dec 19, 2025","23,121.90","23,307.91","23,106.19","23,307.62","23,307.62","12,874,560,000"
"Dec 18, 2025","23,012.06","23,149.61","22,906.23","23,006.36","23,006.36","7,977,920,000"
"Dec 17, 2025","23,135.61","23,159.20","22,692.00","22,693.32","22,693.32","8,616,140,000"
"Dec 16, 2025","22,981.82","23,162.60","22,920.66","23,111.46","23,111.46","7,759,960,000"
"Dec 15, 2025","23,330.04","23,345.56","23,012.00","23,057.41","23,057.41","8,649,240,000"
"Dec 12, 2025","23,488.87","23,554.89","23,094.51","23,195.17","23,195.17","8,724,070,000"
"Dec 11, 2025","23,509.22","23,606.70","23,308.95","23,593.86","23,593.86","8,337,770,000"
"Dec 10, 2025","23,536.00","23,704.08","23,435.17","23,654.15","23,654.15","7,987,900,000"
"Dec 9, 2025","23,504.61","23,616.46","23,449.73","23,576.49","23,576.49","7,192,600,000"
"Dec 8, 2025","23,638.22","23,698.93","23,455.05","23,545.90","23,545.90","8,533,670,000"
"Dec 5, 2025","23,567.77","23,680.03","23,506.00","23,578.13","23,578.13","8,248,280,000"
"Dec 4, 2025","23,527.30","23,528.53","23,372.33","23,505.14","23,505.14","7,456,860,000"
"Dec 3, 2025","23,315.58","23,499.93","23,271.83","23,454.09","23,454.09","7,962,730,000"
"Dec 2, 2025","23,379.75","23,526.23","23,286.46","23,413.67","23,413.67","7,588,580,000"
"Dec 1, 2025","23,172.34","23,363.85","23,110.21","23,275.92","23,275.92","7,859,560,000"
"Nov 28, 2025","23,291.59","23,365.79","23,250.51","23,365.69","23,365.69","4,541,070,000"
